Frame Number,Person Count,Activity Indicator
530,5,False
531,5,True
532,5,True
533,4,True
534,5,True
535,4,True
536,3,False
537,3,True
538,3,True
539,3,False
540,4,True
541,4,True
542,3,True
543,5,True
544,3,False
545,3,True
546,4,True
547,3,False
548,3,True
549,2,True
550,1,False
551,2,True
552,2,True
553,2,True
554,2,True
555,2,True
556,2,True
557,1,True
558,2,False
559,2,True
560,2,True
561,3,False
562,2,False
563,2,False
564,2,False
565,2,False
566,2,False
567,2,True
568,2,False
569,2,False
570,2,False
571,2,False
572,2,False
573,1,False
574,1,False
575,1,False
576,1,False
577,1,False
578,1,False
579,1,False
580,1,False
581,1,False
582,1,False
583,1,False
584,1,False
585,1,False
586,1,False
587,1,False
588,1,False
589,1,False
590,1,False
591,1,False
592,1,False
593,1,False
594,1,False
595,1,False
596,1,False
597,1,False
598,1,False
599,1,True
600,2,True
601,2,True
602,1,True
603,1,True
604,2,True
605,1,True
606,2,True
607,2,True
608,2,True
609,2,True
610,2,True
611,2,True
612,2,True
613,1,True
614,0,True
615,0,True
616,1,True
617,1,True
618,2,True
619,1,True
620,1,True
621,0,True
622,1,True
623,2,True
624,3,False
625,2,True
626,2,False
627,2,True
628,3,True
629,3,True
630,3,True
631,3,True
632,3,True
633,3,True
634,3,False
635,2,True
636,2,True
637,2,True
638,2,True
639,2,True
640,3,True
641,3,True
642,2,True
643,2,True
644,2,True
645,2,False
646,2,True
647,3,True
648,3,False
649,6,True
650,3,True
651,6,True
652,5,True
653,5,True
654,4,False
655,4,True
656,5,True
657,5,True
658,4,True
659,4,False
660,4,True
661,3,True
662,2,False
663,3,True
664,3,True
665,3,True
666,3,True
667,2,True
668,4,True
669,4,True
670,3,True
671,4,True
672,4,True
673,4,False
674,3,True
675,6,True
676,4,True
677,3,True
678,4,True
679,4,True
680,6,True
681,6,True
682,5,True
683,5,False
684,6,True
685,6,True
686,4,True
687,6,True
688,5,True
689,2,True
690,4,True
691,4,True
692,4,True
693,6,False
694,6,True
695,7,False
696,6,True
697,5,True
698,6,True
699,7,True
700,6,True
701,4,True
702,7,True
703,6,True
704,5,True
705,7,True
706,7,True
707,8,False
708,8,True
709,7,True
710,6,True
711,5,True
712,7,True
713,7,True
714,6,True
715,4,True
716,3,True
717,4,True
718,3,True
719,5,True
720,5,False
721,5,True
722,6,True
723,5,True
724,3,True
725,2,True
726,4,True
727,1,True
728,3,True
729,2,False
730,4,True
731,4,True
732,2,False
733,3,True
734,3,True
735,2,False
736,2,True
737,2,True
738,3,True
739,3,True
740,1,True
741,3,True
742,1,True
743,3,True
744,3,True
745,4,True
746,4,True
747,3,True
748,5,True
749,3,True
750,5,True
751,6,True
752,4,True
753,5,True
754,6,False
755,6,True
756,3,True
757,4,True
758,6,True
759,7,True
760,5,False
761,2,True
762,4,True
763,5,True
764,4,True
765,2,True
766,1,True
767,1,True
768,1,True
769,2,True
770,2,True
771,2,True
772,2,True
773,3,True
774,4,True
775,3,True
776,3,True
777,3,False
778,5,True
779,4,False
780,4,True
781,4,True
782,4,True
783,7,True
784,4,True
785,4,False
786,4,True
787,4,True
788,3,True
789,2,True
790,4,True
791,3,True
792,5,True
793,4,True
794,4,True
795,4,True
